Timestamp | Frame | ClassID | ClassName | Confidence | BBox Coordinates (xmin,ymin,xmax,ymax)
----------------------------------------------------------------------------------------------------
0:00:00    | 0      | 7        | truck      | 0.6879 | [3.2,476.9,699.5,914.0]
0:00:00    | 0      | 2        | car        | 0.4005 | [1270.0,261.1,1353.4,337.8]
0:00:00    | 1      | 7        | truck      | 0.7153 | [1.7,475.6,693.2,916.8]
0:00:00    | 1      | 2        | car        | 0.4142 | [1269.9,261.4,1353.1,337.6]
0:00:00    | 2      | 7        | truck      | 0.6291 | [1.0,480.9,693.0,920.3]
0:00:00    | 2      | 2        | car        | 0.4168 | [1270.0,261.4,1353.1,337.6]
0:00:00    | 3      | 7        | truck      | 0.6666 | [1.2,490.5,684.8,920.3]
0:00:00    | 3      | 2        | car        | 0.4114 | [1270.1,261.5,1353.2,337.6]
0:00:00    | 4      | 7        | truck      | 0.6963 | [0.7,493.4,683.6,924.0]
0:00:00    | 4      | 2        | car        | 0.4152 | [1270.1,261.4,1353.4,337.5]
0:00:00    | 5      | 7        | truck      | 0.6284 | [2.0,493.6,671.9,924.3]
0:00:00    | 5      | 2        | car        | 0.4073 | [1270.1,261.7,1353.3,337.3]
0:00:00    | 6      | 7        | truck      | 0.6094 | [1.7,493.8,666.2,925.9]
0:00:00    | 6      | 2        | car        | 0.4023 | [1270.1,261.1,1353.7,337.3]
0:00:00    | 7      | 7        | truck      | 0.5732 | [2.9,491.8,666.6,925.4]
0:00:00    | 7      | 7        | truck      | 0.4045 | [1270.8,259.1,1354.4,339.3]
0:00:00    | 8      | 7        | truck      | 0.5699 | [1.1,492.6,663.5,924.9]
0:00:00    | 9      | 7        | truck      | 0.5173 | [2.4,496.3,660.1,928.7]
0:00:00    | 10     | 7        | truck      | 0.5502 | [0.4,497.1,662.5,930.2]
0:00:00    | 11     | 7        | truck      | 0.5227 | [2.2,499.5,661.1,928.2]
0:00:00    | 11     | 2        | car        | 0.4125 | [1270.0,261.4,1353.6,336.5]
0:00:00    | 12     | 7        | truck      | 0.5784 | [3.3,502.3,655.8,930.1]
0:00:00    | 12     | 2        | car        | 0.4489 | [1269.7,261.2,1354.1,335.4]
0:00:00    | 13     | 7        | truck      | 0.6081 | [2.4,503.5,659.1,931.8]
0:00:00    | 13     | 2        | car        | 0.4062 | [1270.0,260.8,1355.4,334.8]
0:00:00    | 14     | 7        | truck      | 0.5888 | [2.4,500.8,658.4,932.0]
0:00:00    | 14     | 7        | truck      | 0.4156 | [1271.1,258.7,1356.2,337.9]
0:00:00    | 15     | 7        | truck      | 0.5298 | [3.1,500.1,655.9,932.4]
0:00:00    | 15     | 7        | truck      | 0.4017 | [1270.6,258.4,1354.8,337.3]
0:00:00    | 16     | 7        | truck      | 0.5542 | [2.7,500.2,657.6,933.3]
0:00:00    | 17     | 7        | truck      | 0.5803 | [3.1,500.4,656.8,932.4]
0:00:00    | 18     | 7        | truck      | 0.5990 | [2.6,499.5,659.9,933.0]
0:00:00    | 19     | 7        | truck      | 0.6237 | [2.4,501.0,658.9,932.2]
0:00:00    | 19     | 7        | truck      | 0.4201 | [1270.0,259.9,1358.0,337.2]
0:00:00    | 20     | 7        | truck      | 0.6315 | [2.2,501.5,659.1,931.7]
0:00:00    | 20     | 7        | truck      | 0.4454 | [1270.0,260.5,1366.2,337.4]
0:00:00    | 21     | 7        | truck      | 0.6160 | [2.7,503.2,657.3,931.7]
0:00:00    | 21     | 7        | truck      | 0.4580 | [1270.5,259.8,1363.9,336.9]
0:00:00    | 22     | 7        | truck      | 0.6007 | [2.4,501.3,656.5,931.6]
0:00:00    | 22     | 7        | truck      | 0.4375 | [1270.8,259.4,1359.9,339.7]
0:00:00    | 22     | 2        | car        | 0.4017 | [1270.6,261.2,1358.1,337.8]
0:00:00    | 23     | 7        | truck      | 0.6048 | [2.3,501.4,658.8,932.7]
0:00:00    | 23     | 7        | truck      | 0.4195 | [1270.9,259.5,1355.3,340.4]
0:00:00    | 24     | 7        | truck      | 0.5920 | [2.0,501.9,659.7,932.3]
0:00:00    | 24     | 7        | truck      | 0.4528 | [1269.9,259.2,1354.0,339.0]
0:00:00    | 25     | 7        | truck      | 0.6396 | [2.0,502.2,659.6,932.3]
0:00:00    | 25     | 7        | truck      | 0.4477 | [1268.2,259.5,1354.1,338.0]
0:00:00    | 26     | 7        | truck      | 0.6439 | [2.0,502.1,660.3,931.6]
0:00:00    | 26     | 7        | truck      | 0.4149 | [1267.2,259.6,1353.8,337.7]
0:00:00    | 27     | 7        | truck      | 0.6266 | [1.9,501.7,659.8,932.0]
0:00:00    | 27     | 7        | truck      | 0.4064 | [1265.1,260.0,1353.6,338.2]
0:00:00    | 28     | 7        | truck      | 0.6283 | [1.9,502.5,659.3,932.6]
